id;id_usuario;us_usuario;us_contrasena;usuarios_id_usuarios;usuarios_perfil_id_perfil
1;15446;Money Market Account;B2C;97261;13853
2;51709;software index overriding;National empowering;45882;29400
3;31831;deposit;parse explicit;83540;96808
4;57361;quantify;Iranian Rial Strategist;96803;48842
5;74665;impactful vortals Practical;IB;77735;1814
6;36644;programming haptic Car;THX;7593;80670
7;82545;Tasty Metal Tuna Tasty Frozen Soap yellow;Spurs payment Guyana Dollar;37876;45937
8;79180;infomediaries;digital input;56098;57476
9;58548;Security Alabama;uniform blue;23622;52220
10;22914;frame implement;Bedfordshire relationships;92532;91174
